Indeks,Forma podstawowa (Infinitive),Czas przeszły (Past Simple),Imiesłów bierny (Past Participle),Tłumaczenie angielsko-polskie,Wymowa UK (IPA),Wymowa US (IPA)
154,miscast,miscast,miscast,źle obsadzić (rolę),/ˌmɪsˈkɑːst/,/ˌmɪsˈkæst/
155,misdeal,misdealt,misdealt,źle rozdać (karty),/ˌmɪsˈdiːl/,/ˌmɪsˈdiːl/
156,misdo,misdid,misdone,"źle zrobić, zawinić",/ˌmɪsˈduː/,/ˌmɪsˈduː/
157,misgive,misgave,misgiven,wzbudzać zły predczucie,/ˌmɪsˈɡɪv/,/ˌmɪsˈɡɪv/
158,mishear,misheard,misheard,przesłyszeć się,/ˌmɪsˈhɪə(r)/,/ˌmɪsˈhɪr/
159,mislay,mislaid,mislaid,"zapodziać, zawieruszyć",/ˌmɪsˈleɪ/,/ˌmɪsˈleɪ/
160,mislead,misled,misled,wprowadzać w błąd,/ˌmɪsˈliːd/,/ˌmɪsˈliːd/
161,misread,misread,misread,"źle przeczytać, źle zinterpretować",/ˌmɪsˈriːd/,/ˌmɪsˈriːd/
162,misspeak,misspoke,misspoken,przejęzyczyć się,/ˌmɪsˈspiːk/,/ˌmɪsˈspiːk/
163,misspell,misspelt/misspelled,misspelt/misspelled,zrobić błąd ortograficzny,/ˌmɪsˈspel/,/ˌmɪsˈspel/
164,misspend,misspent,misspent,"trwonić (pieniądze, czas)",/ˌmɪsˈspend/,/ˌmɪsˈspend/
165,mistake,mistook,mistaken,mylić (się),/mɪˈsteɪk/,/mɪˈsteɪk/
166,misthink,misthought,misthought,mylić się w ocenie,/ˌmɪsˈθɪŋk/,/ˌmɪsˈθɪŋk/
167,miswrite,miswrote,miswritten,napisać coś z błędem,/ˌmɪsˈraɪt/,/ˌmɪsˈraɪt/
168,mow,mowed,mown/mowed,kosić,/məʊ/,/moʊ/
169,mouth-feed,mouth-fed,mouth-fed,karmić z ust do ust,/ˈmaʊθ fiːd/,/ˈmaʊθ fiːd/
170,nickel-and-dime,nickeled-and-dimed,nickeled-and-dimed,oskubywać kogoś z pieniędzy,/ˈnɪkəl ən daɪm/,/ˈnɪkəl ən daɪm/
171,offset,offset,offset,"równoważyć, kompensować",/ˌɒfˈset/,/ˌɔːfˈset/
172,outbid,outbid,outbid,przelicytować,/ˌaʊtˈbɪd/,/ˌaʊtˈbɪd/
173,outdo,outdid,outdone,"prześcignąć, przewyższyć",/ˌaʊtˈduː/,/ˌaʊtˈduː/
174,outfight,outfought,outfought,pokonać w walce,/ˌaʊtˈfaɪt/,/ˌaʊtˈfaɪt/
175,outfly,outflew,outflown,lecieć wyżej/dalej niż,/ˌaʊtˈflaɪ/,/ˌaʊtˈflaɪ/
176,outgrow,outgrew,outgrown,wyrosnąć z (czegoś),/ˌaʊtˈɡrəʊ/,/ˌaʊtˈɡroʊ/
177,outride,outrode,outridden,jechać szybciej niż,/ˌaʊtˈraɪd/,/ˌaʊtˈraɪd/
178,outrun,outran,outrun,prześcignąć w biegu,/ˌaʊtˈrʌn/,/ˌaʊtˈrʌn/
179,outsell,outsold,outsold,sprzedać więcej niż,/ˌaʊtˈsel/,/ˌaʊtˈsel/
180,outshine,outshone,outshone,przyćmić (kogoś),/ˌaʊtˈʃaɪn/,/ˌaʊtˈʃaɪn/
181,outshoot,outshot,outshot,strzelać celniej niż,/ˌaʊtˈʃuːt/,/ˌaʊtˈʃuːt/
182,outspeak,outspoke,outspoken,mówić śmielej/więcej niż,/ˌaʊtˈspiːk/,/ˌaʊtˈspiːk/
183,outspend,outspent,outspent,wydać więcej niż,/ˌaʊtˈspend/,/ˌaʊtˈspend/
184,outthink,outthought,outthought,przechytrzyć,/ˌaʊtˈθɪŋk/,/ˌaʊtˈθɪŋk/
185,outwear,outwore,outworn,"zużyć się, przetrwać",/ˌaʊtˈweə(r)/,/ˌaʊtˈwer/
186,outwrite,outwrote,outwritten,pisać lepiej niż,/ˌaʊtˈraɪt/,/ˌaʊtˈraɪt/
187,overbear,overbore,overborne,"przytłaczać, dominować",/ˌəʊvəˈbeə(r)/,/ˌoʊvərˈber/
188,overbid,overbid,overbid,"przelicytować, przebić ofertę",/ˌəʊvəˈbɪd/,/ˌoʊvərˈbɪd/
189,overblow,overblew,overblown,"rozdmuchiwać, przesadzać",/ˌəʊvəˈbləʊ/,/ˌoʊvərˈbloʊ/
190,overbuild,overbuilt,overbuilt,zabudować zbyt gęsto,/ˌəʊvəˈbɪld/,/ˌoʊvərˈbɪld/
191,overbuy,overbought,overbought,kupić za dużo,/ˌəʊvəˈbaɪ/,/ˌoʊvərˈbaɪ/
192,overcast,overcast,overcast,"zachmurzyć się, obszywać",/ˌəʊvəˈkɑːst/,/ˌoʊvərˈkæst/
193,overcome,overcame,overcome,przezwyciężyć,/ˌəʊvəˈkʌm/,/ˌoʊvərˈkʌm/
194,overcut,overcut,overcut,nacinać zbyt głęboko,/ˌəʊvəˈkʌt/,/ˌoʊvərˈkʌt/
195,overdo,overdid,overdone,przesadzić,/ˌəʊvəˈduː/,/ˌoʊvərˈduː/
196,overdraw,overdrew,overdrawn,przekroczyć stan konta,/ˌəʊvəˈdrɔː/,/ˌoʊvərˈdrɔː/
197,overdrink,overdrank,overdrunk,upić się,/ˌəʊvəˈdrɪŋk/,/ˌoʊvərˈdrɪŋk/
198,overeat,overate,overeaten,przejadać się,/ˌəʊvərˈiːt/,/ˌoʊvərˈiːt/
199,overfeed,overfed,overfed,przekarmiać,/ˌəʊvəˈfiːd/,/ˌoʊvərˈfiːd/
200,overfly,overflew,overflown,przelecieć nad,/ˌəʊvəˈflaɪ/,/ˌoʊvərˈflaɪ/
201,overhang,overhung,overhung,zwisać nad,/ˌəʊvəˈhæŋ/,/ˌoʊvərˈhæŋ/
202,overhear,overheard,overheard,podsłuchać,/ˌəʊvəˈhɪə(r)/,/ˌoʊvərˈhɪr/
203,overhit,overhit,overhit,uderzyć za mocno,/ˌəʊvəˈhɪt/,/ˌoʊvərˈhɪt/
204,overlay,overlaid,overlaid,"pokrywać, nakładać",/ˌəʊvəˈleɪ/,/ˌoʊvərˈleɪ/
205,overleap,overleapt/overleaped,overleapt/overleaped,"przeskakiwać, pomijać",/ˌəʊvəˈliːp/,/ˌoʊvərˈliːp/
206,overlie,overlay,overlain,"leżeć na czymś, przykrywać",/ˌəʊvəˈlaɪ/,/ˌoʊvərˈlaɪ/
207,overpay,overpaid,overpaid,przepłacić,/ˌəʊvəˈpeɪ/,/ˌoʊvərˈpeɪ/
208,override,overrode,overridden,"uchylać, być ważniejszym",/ˌəʊvəˈraɪd/,/ˌoʊvərˈraɪd/
209,overrun,overran,overrun,"opanować, zalać",/ˌəʊvəˈrʌn/,/ˌoʊvərˈrʌn/
210,oversee,oversaw,overseen,nadzorować,/ˌəʊvəˈsiː/,/ˌoʊvərˈsiː/
211,oversell,oversold,oversold,sprzedać powyżej możliwości,/ˌəʊvəˈsel/,/ˌoʊvərˈsel/
212,overshoot,overshot,overshot,"przestrzelić, minąć cel",/ˌəʊvəˈʃuːt/,/ˌoʊvərˈʃuːt/
213,oversleep,overslept,overslept,zaspać,/ˌəʊvəˈsliːp/,/ˌoʊvərˈsliːp/
214,overspend,overspent,overspent,wydać za dużo,/ˌəʊvəˈspend/,/ˌoʊvərˈspend/
215,overspread,overspread,overspread,"rozprzestrzenić się na, pokryć",/ˌəʊvəˈspred/,/ˌoʊvərˈspred/
216,overswim,overswam,overswum,przepłynąć (dalej niż coś/ktoś),/ˌəʊvəˈswɪm/,/ˌoʊvəˈswɪm/
217,overtake,overtook,overtaken,wyprzedzić,/ˌəʊvəˈteɪk/,/ˌoʊvərˈteɪk/
218,overthink,overthought,overthought,"myśleć za dużo, analizować przesadnie",/ˌəʊvəˈθɪŋk/,/ˌoʊvərˈθɪŋk/
219,overthrow,overthrew,overthrown,obalić (rząd),/ˌəʊvəˈθrəʊ/,/ˌoʊvərˈθroʊ/
220,overwind,overwound,overwound,przekręcić (sprężynę w zegarku),/ˌəʊvəˈwaɪnd/,/ˌoʊvərˈwaɪnd/
221,overwrite,overwrote,overwritten,nadpisać (dane),/ˌəʊvəˈraɪt/,/ˌoʊvərˈraɪt/
222,partake,partook,partaken,"brać udział, uczestniczyć",/pɑːˈteɪk/,/pɑːrˈteɪk/
223,pay,paid,paid,płacić,/peɪ/,/peɪ/
224,pen,pent/penned,pent/penned,"zamykać (w zagrodzie), pisać",/pen/,/pen/
225,plead,pled/pleaded,pled/pleaded,błagać,/pliːd/,/pliːd/
226,preset,preset,preset,ustawiać z góry,/ˌpriːˈset/,/ˌpriːˈset/
227,proofread,proofread,proofread,robić korektę,/ˈpruːfriːd/,/ˈpruːfriːd/
228,prove,proved,proven/proved,udowadniać,/pruːv/,/pruːv/
229,put,put,put,"kłaść, położyć",/pʊt/,/pʊt/
230,quick-freeze,quick-froze,quick-frozen,głęboko mrozić,/ˌkwɪkˈfriːz/,/ˌkwɪkˈfriːz/
231,quit,quit,quit,"rzucać, opuszczać",/kwɪt/,/kwɪt/
232,quoth,quoth,-,"rzec, powiedzieć (archaiczne, tylko w 1 i 3 os. l.p.)",/kwəʊθ/,/kwoʊθ/
233,re-fly,re-flew,re-flown,lecieć ponownie,/ˌriːˈflaɪ/,/ˌriːˈflaɪ/
234,re-lay,re-laid,re-laid,położyć na nowo,/ˌriːˈleɪ/,/ˌriːˈleɪ/
235,re-prove,re-proved,re-proven,udowodnić ponownie,/ˌriːˈpruːv/,/ˌriːˈpruːv/
236,re-wake,re-woke/re-waked,re-woken/re-waked,obudzić ponownie,/ˌriːˈweɪk/,/ˌriːˈweɪk/
237,re-wear,re-wore,re-worn,nosić ponownie (ubranie),/ˌriːˈweə(r)/,/ˌriːˈwer/
238,re-win,re-won,re-won,wygrać ponownie,/ˌriːˈwɪn/,/ˌriːˈwɪn/
239,read,read,read,czytać,/riːd/,/riːd/
240,reave,reft/reaved,reft/reaved,"rabować, pozbawiać",/riːv/,/riːv/
241,rebid,rebid,rebid,licytować ponownie,/ˌriːˈbɪd/,/ˌriːˈbɪd/
242,rebind,rebound,rebound,ponownie oprawić (książkę),/ˌriːˈbaɪnd/,/ˌriːˈbaɪnd/
243,rebroadcast,rebroadcast,rebroadcast,retransmitować,/ˌriːˈbrɔːdkɑːst/,/ˌriːˈbrɔːdkæst/
244,rebuild,rebuilt,rebuilt,odbudować,/ˌriːˈbɪld/,/ˌriːˈbɪld/
245,recast,recast,recast,"przerobić, zmienić obsadę",/ˌriːˈkɑːst/,/ˌriːˈkæst/
246,redo,redid,redone,"przerobić, zrobić ponownie",/ˌriːˈduː/,/ˌriːˈduː/
247,reeve,rove/reeved,rove/reeved,przewlekać (linę),/riːv/,/riːv/
248,regrind,reground,reground,ponownie mielić,/ˌriːˈɡraɪnd/,/ˌriːˈɡraɪnd/
249,regrow,regrew,regrown,odrastać,/ˌriːˈɡrəʊ/,/ˌriːˈɡroʊ/
250,rehang,rehung,rehung,przewiesić,/ˌriːˈhæŋ/,/ˌriːˈhæŋ/
251,rehear,reheard,reheard,przesłuchać ponownie,/ˌriːˈhɪə(r)/,/ˌriːˈhɪr/
252,reknit,reknit/reknitted,reknit/reknitted,zrobić na drutach ponownie,/ˌriːˈnɪt/,/ˌriːˈnɪt/
253,relight,relit/relighted,relit/relighted,zapalić ponownie,/ˌriːˈlaɪt/,/ˌriːˈlaɪt/
254,remake,remade,remade,"przerobić, zrobić remake",/ˌriːˈmeɪk/,/ˌriːˈmeɪk/
255,rend,rent,rent,rozdzierać,/rend/,/rend/
256,repay,repaid,repaid,spłacić,/rɪˈpeɪ/,/rɪˈpeɪ/
257,rerun,reran,rerun,"powtórzyć (program, wyścig)",/ˌriːˈrʌn/,/ˌriːˈrʌn/
258,resell,resold,resold,odsprzedać,/ˌriːˈsel/,/ˌriːˈsel/
259,reset,reset,reset,zresetować,/ˌriːˈset/,/ˌriːˈset/
260,resit,resat,resat,podchodzić ponownie do egzaminu,/ˌriːˈsɪt/,/ˌriːˈsɪt/
261,retake,retook,retaken,"odebrać, ponownie zdawać",/ˌriːˈteɪk/,/ˌriːˈteɪk/
262,retell,retold,retold,opowiedzieć ponownie,/ˌriːˈtel/,/ˌriːˈtel/
263,rethink,rethought,rethought,przemyśleć na nowo,/ˌriːˈθɪŋk/,/ˌriːˈθɪŋk/
264,retread,retrod,retrodden,iść ponownie tą samą drogą,/ˌriːˈtred/,/ˌriːˈtred/
265,rewind,rewound,rewound,przewijać (do tyłu),/ˌriːˈwaɪnd/,/ˌriːˈwaɪnd/
266,rewrite,rewrote,rewritten,przepisać,/ˌriːˈraɪt/,/ˌriːˈraɪt/
267,rid,rid,rid,uwalniać,/rɪd/,/rɪd/
268,ride,rode,ridden,jeździć (na),/raɪd/,/raɪd/
269,ring,rang,rung,dzwonić,/rɪŋ/,/rɪŋ/
270,rise,rose,risen,"wzrastać, wschodzić",/raɪz/,/raɪz/
271,rive,rived,riven/rived,"rozdzierać, rozłupywać",/raɪv/,/raɪv/
272,rough-hew,rough-hewed,rough-hewn,ciosać z grubsza,/ˌrʌfˈhjuː/,/ˌrʌfˈhjuː/
273,roughcast,roughcast,roughcast,tynkować z grubsza,/ˈrʌfkɑːst/,/ˈrʌfkæst/
274,run,ran,run,biegać,/rʌn/,/rʌn/
275,sand-cast,sand-cast,sand-cast,odlewać w piasku,/ˈsænd kɑːst/,/ˈsænd kæst/
276,saw,sawed,sawn/sawed,piłować,/sɔː/,/sɔː/
277,say,said,said,powiedzieć,/seɪ/,/seɪ/
278,see,saw,seen,widzieć,/siː/,/siː/
279,seek,sought,sought,szukać,/siːk/,/siːk/
280,self-feed,self-fed,self-fed,żywić się samodzielnie,/ˌselfˈfiːd/,/ˌselfˈfiːd/
281,self-sow,self-sowed,self-sown,samoistnie się rozsiewać (o roślinie),/ˌselfˈsəʊ/,/ˌselfˈsoʊ/
282,sell,sold,sold,sprzedawać,/sel/,/sel/
283,send,sent,sent,wysyłać,/send/,/send/
284,set,set,set,ustawiać,/set/,/set/
285,sew,sewed,sewn/sewed,szyć,/səʊ/,/soʊ/
286,shake,shook,shaken,trząść,/ʃeɪk/,/ʃeɪk/
287,shave,shaved,shaven/shaved,golić,/ʃeɪv/,/ʃeɪv/
288,shear,shore/sheared,shorn/sheared,strzyc (owce),/ʃɪə(r)/,/ʃɪr/
289,shed,shed,shed,"ronić, zrzucać",/ʃed/,/ʃed/
