Numer,Słowo (Angielski),Wymowa (IPA),Tłumaczenie (Polski)
176,self,/self/,jaźń/własny
177,earth,/ɜːrθ/,ziemia
178,father,/ˈfɑːðər/,ojciec
179,head,/hed/,głowa
180,stand,/stænd/,stać
181,own,/əʊn/,własny/posiadać
182,page,/peɪdʒ/,strona
183,should,/ʃʊd/,powinien
184,country,/ˈkʌntri/,kraj/wieś
185,found,/faʊnd/,znalazł
186,answer,/ˈɑːnsər/,odpowiedź/odpowiadać
187,school,/skuːl/,szkoła
188,grow,/ɡrəʊ/,rosnąć
189,study,/ˈstʌdi/,uczyć się/nauka
190,still,/stɪl/,wciąż/nadal
191,learn,/lɜːrn/,uczyć się
192,plant,/plænt/,roślina/sadzić
193,cover,/ˈkʌvər/,okładka/przykrywać
194,food,/fuːd/,jedzenie
195,sun,/sʌn/,słońce
196,four,/fɔːr/,cztery
197,between,/bɪˈtwiːn/,pomiędzy
198,state,/steɪt/,stan/państwo
199,keep,/kiːp/,trzymać/kontynuować
200,eye,/aɪ/,oko
201,never,/ˈnevər/,nigdy
202,last,/lɑːst/,ostatni/trwać
203,let,/let/,pozwalać
204,thought,/θɔːt/,myśl/myślał
205,city,/ˈsɪti/,miasto
206,tree,/triː/,drzewo
207,cross,/krɒs/,krzyż/przechodzić
208,farm,/fɑːrm/,farma/gospodarstwo
209,hard,/hɑːrd/,trudny/twardy
210,start,/stɑːrt/,zaczynać/początek
211,might,/maɪt/,móc (możliwość)
212,story,/ˈstɔːri/,historia/opowiadanie
213,saw,/sɔː/,widział/piła
214,far,/fɑːr/,daleko
215,sea,/siː/,morze
216,draw,/drɔː/,rysować
217,left,/left/,lewo/opuścił
218,late,/leɪt/,późno
219,run,/rʌn/,biec
220,don't,/dəʊnt/,nie (skrót od 'do not')
221,while,/waɪl/,podczas gdy/chwila
222,press,/pres/,prasa/naciskać
223,close,/kləʊs/,blisko (przym.)
224,night,/naɪt/,noc
225,real,/riːəl/,prawdziwy
226,life,/laɪf/,życie
227,few,/fjuː/,kilka
228,north,/nɔːrθ/,północ
229,open,/ˈəʊpən/,otwarty/otwierać
230,seem,/siːm/,wydawać się
231,together,/təˈɡeðər/,razem
232,next,/nekst/,następny
233,white,/waɪt/,biały
234,children,/ˈtʃɪldrən/,dzieci
235,begin,/bɪˈɡɪn/,zaczynać
236,got,/ɡɒt/,dostał
237,walk,/wɔːk/,chodzić/spacer
238,example,/ɪɡˈzɑːmpl/,przykład
239,ease,/iːz/,łatwość/ulga
240,paper,/ˈpeɪpər/,papier/gazeta
241,group,/ɡruːp/,grupa
242,always,/ˈɔːlweɪz/,zawsze
243,music,/ˈmjuːzɪk/,muzyka
244,those,/ðəʊz/,tamci/tamte
245,both,/bəʊθ/,obaj/oba/obie
246,mark,/mɑːrk/,znak/ocena/zaznaczać
247,often,/ˈɒfən/,często
248,letter,/ˈletər/,list/litera
249,until,/ənˈtɪl/,aż do/dopóki
250,mile,/maɪl/,mila
251,river,/ˈrɪvər/,rzeka
252,car,/kɑːr/,samochód
253,feet,/fiːt/,stopy
254,care,/ker/,opieka/dbać
255,second,/ˈsekənd/,drugi/sekunda
256,book,/bʊk/,książka
257,carry,/ˈkæri/,nosić/dźwigać
258,took,/tʊk/,wziął
259,science,/ˈsaɪəns/,nauka
260,eat,/iːt/,jeść
261,room,/ruːm/,pokój
262,friend,/frend/,przyjaciel/przyjaciółka
263,began,/bɪˈɡæn/,zaczął
264,idea,/aɪˈdiːə/,pomysł/idea
265,fish,/fɪʃ/,ryba
266,mountain,/ˈmaʊntən/,góra
267,stop,/stɒp/,zatrzymać się/stop
268,once,/wʌns/,raz/kiedyś
269,base,/beɪs/,baza/podstawa
270,hear,/hɪər/,słyszeć
271,horse,/hɔːrs/,koń
272,cut,/kʌt/,ciąć
273,sure,/ʃʊər/,pewny
274,watch,/wɒtʃ/,oglądać/zegarek
275,color,/ˈkʌlər/,kolor
276,face,/feɪs/,twarz
277,wood,/wʊd/,drewno
278,main,/meɪn/,główny
279,enough,/ɪˈnʌf/,wystarczająco
280,plain,/pleɪn/,równina/prosty
281,girl,/ɡɜːrl/,dziewczyna
282,usual,/ˈjuːʒuəl/,zwykły
283,young,/jʌŋ/,młody
284,ready,/ˈredi/,gotowy
285,above,/əˈbʌv/,powyżej/nad
286,ever,/ˈevər/,kiedykolwiek
287,red,/red/,czerwony
288,list,/lɪst/,lista
289,though,/ðəʊ/,chociaż
290,feel,/fiːl/,czuć
291,talk,/tɔːk/,rozmawiać
292,bird,/bɜːrd/,ptak
293,soon,/suːn/,wkrótce
294,body,/ˈbɒdi/,ciało
295,dog,/dɒɡ/,pies
296,family,/ˈfæməli/,rodzina
297,direct,/dəˈrekt/,bezpośredni/reżyserować
298,pose,/pəʊz/,poza/pozować
299,leave,/liːv/,opuszczać/zostawiać
300,song,/sɒŋ/,piosenka
301,measure,/ˈmeʒər/,mierzyć/miara
302,door,/dɔːr/,drzwi
303,product,/ˈprɒdʌkt/,produkt
304,black,/blæk/,czarny
305,short,/ʃɔːrt/,krótki
306,numeral,/ˈnjuːmərəl/,liczebnik
307,class,/klɑːs/,klasa
308,wind,/wɪnd/,wiatr
309,question,/ˈkwestʃən/,pytanie
310,happen,/ˈhæpən/,zdarzyć się
311,complete,/kəmˈpliːt/,ukończyć/kompletny
312,ship,/ʃɪp/,statek
313,area,/ˈeəriə/,obszar/powierzchnia
314,half,/hɑːf/,połowa
315,rock,/rɒk/,skała/kamień
316,order,/ˈɔːrdər/,zamówienie/kolejność
317,fire,/ˈfaɪər/,ogień
318,south,/saʊθ/,południe
319,problem,/ˈprɒbləm/,problem
320,piece,/piːs/,kawałek
321,told,/təʊld/,powiedział
322,knew,/njuː/,wiedział
323,pass,/pɑːs/,mijać/zdać
324,since,/sɪns/,od (jakiegoś czasu)
325,top,/tɒp/,szczyt/góra
326,whole,/həʊl/,cały
327,king,/kɪŋ/,król
328,space,/speɪs/,przestrzeń/kosmos
329,heard,/hɜːrd/,słyszał
330,best,/best/,najlepszy
331,hour,/ˈaʊər/,godzina
332,better,/ˈbetər/,lepszy
333,TRUE,/truː/,prawdziwy
334,during,/ˈdjʊərɪŋ/,podczas
335,hundred,/ˈhʌndrəd/,sto
336,five,/faɪv/,pięć
337,remember,/rɪˈmembər/,pamiętać
338,step,/step/,krok
339,early,/ˈɜːrli/,wcześnie
340,hold,/həʊld/,trzymać
341,west,/west/,zachód
342,ground,/ɡraʊnd/,ziemia/grunt
343,interest,/ˈɪntrəst/,zainteresowanie/odsetki
344,reach,/riːtʃ/,dosięgnąć/osiągnąć
345,fast,/fɑːst/,szybki
346,verb,/vɜːrb/,czasownik
347,sing,/sɪŋ/,śpiewać
348,listen,/ˈlɪsn/,słuchać
349,six,/sɪks/,sześć
350,table,/ˈteɪbl/,stół/tabela
351,travel,/ˈtrævl/,podróżować
352,less,/les/,mniej
353,morning,/ˈmɔːrnɪŋ/,ranek
354,ten,/ten/,dziesięć
355,simple,/ˈsɪmpl/,prosty
356,several,/ˈsevrəl/,kilka
357,vowel,/ˈvaʊəl/,samogłoska
358,toward,/təˈwɔːrd/,w kierunku
359,war,/wɔːr/,wojna
360,lay,/leɪ/,kłaść
361,against,/əˈɡenst/,przeciwko
362,pattern,/ˈpætərn/,wzór/schemat
363,slow,/sləʊ/,wolny
364,center,/ˈsentər/,centrum/środek
365,love,/lʌv/,miłość/kochać
366,person,/ˈpɜːrsən/,osoba
367,money,/ˈmʌni/,pieniądze
368,serve,/sɜːrv/,służyć/podawać
369,appear,/əˈpɪər/,pojawić się
370,road,/rəʊd/,droga
371,map,/mæp/,mapa
372,rain,/reɪn/,deszcz
373,rule,/ruːl/,zasada/rządzić
374,govern,/ˈɡʌvərn/,rządzić
375,pull,/pʊl/,ciągnąć
376,cold,/kəʊld/,zimny/przeziębienie
377,notice,/ˈnəʊtɪs/,zauważyć/ogłoszenie
378,voice,/vɔɪs/,głos
379,unit,/ˈjuːnɪt/,jednostka
380,power,/ˈpaʊər/,moc/siła
381,town,/taʊn/,miasto/miasteczko
382,fine,/faɪn/,w porządku/grzywna
383,certain,/ˈsɜːrtn/,pewien
384,fly,/flaɪ/,latać/mucha
385,fall,/fɔːl/,upadać/jesień
386,lead,/liːd/,prowadzić/ołów
387,cry,/kraɪ/,płakać/krzyk
388,dark,/dɑːrk/,ciemny
389,machine,/məˈʃiːn/,maszyna
390,note,/nəʊt/,notatka/zauważyć
391,wait,/weɪt/,czekać
392,plan,/plæn/,plan/planować
393,figure,/ˈfɪɡjər/,figura/liczba
394,star,/stɑːr/,gwiazda
395,box,/bɒks/,pudełko
396,noun,/naʊn/,rzeczownik
397,field,/fiːld/,pole
398,rest,/rest/,reszta/odpoczywać
399,correct,/kəˈrekt/,poprawny/poprawiać
400,able,/ˈeɪbl/,zdolny/w stanie
401,pound,/paʊnd/,funt
402,done,/dʌn/,zrobione
403,beauty,/ˈbjuːti/,piękno
404,drive,/draɪv/,prowadzić (pojazd)
405,stood,/stʊd/,stał
406,contain,/kənˈteɪn/,zawierać
407,front,/frʌnt/,przód
408,teach,/tiːtʃ/,uczyć (kogoś)
409,week,/wiːk/,tydzień
410,final,/ˈfaɪnl/,ostateczny/finał
411,gave,/ɡeɪv/,dał
412,green,/ɡriːn/,zielony
413,oh,/əʊ/,och/o
414,quick,/kwɪk/,szybki
415,develop,/dɪˈveləp/,rozwijać
416,ocean,/ˈəʊʃən/,ocean
417,warm,/wɔːrm/,ciepły
418,free,/friː/,wolny/darmowy
419,minute,/ˈmɪnɪt/,minuta
420,strong,/strɒŋ/,silny
421,special,/ˈspeʃl/,specjalny
422,mind,/maɪnd/,umysł/mieć coś przeciwko
423,behind,/bɪˈhaɪnd/,za
424,clear,/klɪər/,czysty/jasny
425,tail,/teɪl/,ogon
426,produce,/prəˈdjuːs/,produkować
427,fact,/fækt/,fakt
428,street,/striːt/,ulica
429,inch,/ɪntʃ/,cal
430,multiply,/ˈmʌltɪplaɪ/,mnożyć
431,nothing,/ˈnʌθɪŋ/,nic
432,course,/kɔːrs/,kurs/oczywiście
433,stay,/steɪ/,zostać/pobyt
434,wheel,/wiːl/,koło
435,full,/fʊl/,pełny
436,force,/fɔːrs/,siła/zmuszać
437,blue,/bluː/,niebieski
438,object,/ˈɒbdʒekt/,obiekt/przedmiot
439,decide,/dɪˈsaɪd/,decydować
440,surface,/ˈsɜːrfɪs/,powierzchnia
441,deep,/diːp/,głęboki
442,moon,/muːn/,księżyc
443,island,/ˈaɪlənd/,wyspa
444,foot,/fʊt/,stopa
445,system,/ˈsɪstəm/,system
446,busy,/ˈbɪzi/,zajęty
447,test,/test/,test/testować
448,record,/ˈrekɔːrd/,nagrywać/rekord
449,boat,/bəʊt/,łódź
450,common,/ˈkɒmən/,wspólny/powszechny
451,gold,/ɡəʊld/,złoto/złoty
452,possible,/ˈpɒsəbl/,możliwy
453,plane,/pleɪn/,samolot
454,stead,/sted/,zamiast/w zastępstwie
455,dry,/draɪ/,suchy
456,wonder,/ˈwʌndər/,cud/zastanawiać się
457,laugh,/lɑːf/,śmiać się
458,thousand,/ˈθaʊzənd/,tysiąc
459,ago,/əˈɡəʊ/,temu
460,ran,/ræn/,biegł
461,check,/tʃek/,sprawdzać/rachunek
462,game,/ɡeɪm/,gra
463,shape,/ʃeɪp/,kształt
464,equate,/ɪˈkweɪt/,zrównać/utożsamiać
465,hot,/hɒt/,gorący
466,miss,/mɪs/,tęsknić/spóźnić się/panna
467,brought,/brɔːt/,przyniósł
468,heat,/hiːt/,ciepło/upał
469,snow,/snəʊ/,śnieg
470,tire,/taɪər/,opona/męczyć się
471,bring,/brɪŋ/,przynosić
472,yes,/jes/,tak
473,distant,/ˈdɪstənt/,odległy
474,fill,/fɪl/,wypełniać
475,east,/iːst/,wschód
476,paint,/peɪnt/,farba/malować
477,language,/ˈlæŋɡwɪdʒ/,język
478,among,/əˈmʌŋ/,pośród
479,grand,/ɡrænd/,wielki/wspaniały
480,ball,/bɔːl/,piłka
481,yet,/jet/,jeszcze/już
482,wave,/weɪv/,fala
483,drop,/drɒp/,kropla/upuszczać
484,heart,/hɑːrt/,serce
485,am,/æm/,jestem
486,present,/ˈpreznt/,prezent (rzecz.) / obecny (przym.)
487,heavy,/ˈhevi/,ciężki
488,dance,/dɑːns/,taniec/tańczyć
489,engine,/ˈendʒɪn/,silnik
490,position,/pəˈzɪʃn/,pozycja/stanowisko
491,arm,/ɑːrm/,ramię
492,wide,/waɪd/,szeroki
493,sail,/seɪl/,żagiel/żeglować
494,material,/məˈtɪəriəl/,materiał
495,size,/saɪz/,rozmiar
496,vary,/ˈveəri/,różnić się
497,settle,/ˈsetl/,osiedlić się/załatwić
498,speak,/spiːk/,mówić
499,weight,/weɪt/,waga/ciężar
500,general,/ˈdʒenərəl/,ogólny/generał
501,ice,/aɪs/,lód
502,matter,/ˈmætər/,materia/sprawa
503,circle,/ˈsɜːrkl/,koło/okrąg
504,pair,/per/,para
505,include,/ɪnˈkluːd/,zawierać/włączać
506,divide,/dɪˈvaɪd/,dzielić
507,syllable,/ˈsɪləbl/,sylaba
508,felt,/felt/,czuł/filc
509,perhaps,/pərˈhæps/,być może
510,pick,/pɪk/,wybierać/zbierać
511,sudden,/ˈsʌdn/,nagły
512,count,/kaʊnt/,liczyć
513,square,/skwer/,kwadrat/plac
514,reason,/ˈriːzn/,powód/rozsądek
515,length,/leŋθ/,długość
516,represent,/ˌreprɪˈzent/,reprezentować
517,art,/ɑːrt/,sztuka
518,subject,/ˈsʌbdʒɪkt/,temat/podmiot
519,region,/ˈriːdʒən/,region
520,energy,/ˈenərdʒi/,energia
521,hunt,/hʌnt/,polować/polowanie
522,probable,/ˈprɒbəbl/,prawdopodobny
523,bed,/bed/,łóżko
524,brother,/ˈbrʌðər/,brat
525,egg,/eɡ/,jajko
526,ride,/raɪd/,jechać/przejażdżka
527,cell,/sel/,komórka
528,believe,/bɪˈliːv/,wierzyć
529,fraction,/ˈfrækʃən/,ułamek
530,forest,/ˈfɒrɪst/,las
531,sit,/sɪt/,siedzieć
532,race,/reɪs/,wyścig/rasa
533,window,/ˈwɪndəʊ/,okno
534,store,/stɔːr/,sklep/przechowywać
535,summer,/ˈsʌmər/,lato
536,train,/treɪn/,pociąg/trenować
537,sleep,/sliːp/,spać
538,prove,/pruːv/,udowodnić
539,lone,/ləʊn/,samotny
540,leg,/leɡ/,noga
541,exercise,/ˈeksərsaɪz/,ćwiczenie
542,wall,/wɔːl/,ściana/mur
543,catch,/kætʃ/,łapać
544,mount,/maʊnt/,góra/montować
545,wish,/wɪʃ/,życzenie/życzyć
546,sky,/skaɪ/,niebo
547,board,/bɔːrd/,deska/tablica
548,joy,/dʒɔɪ/,radość
549,winter,/ˈwɪntər/,zima
550,sat,/sæt/,siedział
551,written,/ˈrɪtn/,napisany
552,wild,/waɪld/,dziki
553,instrument,/ˈɪnstrəmənt/,instrument
554,kept,/kept/,trzymał
555,glass,/ɡlɑːs/,szkło/szklanka
556,grass,/ɡrɑːs/,trawa
557,cow,/kaʊ/,krowa
558,job,/dʒɒb/,praca/zawód
559,edge,/edʒ/,krawędź
560,sign,/saɪn/,znak/podpisać
561,visit,/ˈvɪzɪt/,odwiedzać/wizyta
562,past,/pɑːst/,przeszłość/obok
563,soft,/sɒft/,miękki
564,fun,/fʌn/,zabawa/zabawny
565,bright,/braɪt/,jasny
566,gas,/ɡæs/,gaz/benzyna
567,weather,/ˈweðər/,pogoda
568,month,/mʌnθ/,miesiąc
569,million,/ˈmɪliən/,milion
570,bear,/ber/,niedźwiedź/znosić
571,finish,/ˈfɪnɪʃ/,kończyć/koniec
572,happy,/ˈhæpi/,szczęśliwy
573,hope,/həʊp/,nadzieja/mieć nadzieję
574,flower,/ˈflaʊər/,kwiat
575,clothe,/kləʊð/,ubierać
576,strange,/streɪndʒ/,dziwny/obcy
577,gone,/ɡɒn/,zniknął/poszedł
578,jump,/dʒʌmp/,skakać
579,baby,/ˈbeɪbi/,dziecko/niemowlę
580,eight,/eɪt/,osiem
581,village,/ˈvɪlɪdʒ/,wieś
582,meet,/miːt/,spotykać
583,root,/ruːt/,korzeń
584,buy,/baɪ/,kupować
585,raise,/reɪz/,podnosić/wychowywać
586,solve,/sɒlv/,rozwiązać
587,metal,/ˈmetl/,metal
588,whether,/ˈweðər/,czy
589,push,/pʊʃ/,pchać
590,seven,/ˈsevn/,siedem
591,paragraph,/ˈpærəɡrɑːf/,akapit
592,third,/θɜːrd/,trzeci
593,shall,/ʃæl/,czasownik modalny
594,held,/held/,trzymał
595,hair,/her/,włosy
596,describe,/dɪˈskraɪb/,opisywać
597,cook,/kʊk/,kucharz/gotować
598,floor,/flɔːr/,podłoga/piętro
599,either,/ˈaɪðər/,albo
600,result,/rɪˈzʌlt/,wynik/rezultat
601,burn,/bɜːrn/,palić się/oparzenie
602,hill,/hɪl/,wzgórze
603,safe,/seɪf/,bezpieczny
604,cat,/kæt/,kot
605,century,/ˈsentʃəri/,wiek/stulecie
606,consider,/kənˈsɪdər/,rozważać
607,type,/taɪp/,typ/pisać na klawiaturze
608,law,/lɔː/,prawo
609,bit,/bɪt/,kawałek/trochę
610,coast,/kəʊst/,wybrzeże
611,copy,/ˈkɒpi/,kopia/kopiować
612,phrase,/freɪz/,fraza/zwrot
613,silent,/ˈsaɪlənt/,cichy
614,tall,/tɔːl/,wysoki
615,sand,/sænd/,piasek
616,soil,/sɔɪl/,gleba/ziemia
617,roll,/rəʊl/,toczyć się/bułka
618,temperature,/ˈtemprətʃər/,temperatura
619,finger,/ˈfɪŋɡər/,palec
620,industry,/ˈɪndəstri/,przemysł
621,value,/ˈvæljuː/,wartość
622,fight,/faɪt/,walka/walczyć
623,lie,/laɪ/,kłamać/leżeć
624,beat,/biːt/,bić/rytm
625,excite,/ɪkˈsaɪt/,ekscytować
626,natural,/ˈnætʃərəl/,naturalny
627,view,/vjuː/,widok/pogląd
628,sense,/sens/,zmysł/sens
629,ear,/ɪər/,ucho
630,else,/els/,inny/inaczej
631,quite,/kwaɪt/,całkiem/dość
632,broke,/brəʊk/,zepsuł
633,case,/keɪs/,przypadek/sprawa
634,middle,/ˈmɪdl/,środek
635,kill,/kɪl/,zabijać
636,son,/sʌn/,syn
637,lake,/leɪk/,jezioro
638,moment,/ˈməʊmənt/,moment/chwila
639,scale,/skeɪl/,skala/waga
640,loud,/laʊd/,głośny
641,spring,/sprɪŋ/,wiosna/sprężyna
642,observe,/əbˈzɜːrv/,obserwować
643,child,/tʃaɪld/,dziecko
644,straight,/streɪt/,prosty
645,consonant,/ˈkɒnsənənt/,spółgłoska
646,nation,/ˈneɪʃn/,naród
647,dictionary,/ˈdɪkʃəneri/,słownik
648,milk,/mɪlk/,mleko
649,speed,/spiːd/,prędkość
650,method,/ˈmeθəd/,metoda
651,organ,/ˈɔːrɡən/,organ/narząd
652,pay,/peɪ/,płacić
653,age,/eɪdʒ/,wiek
654,section,/ˈsekʃn/,sekcja/dział
655,dress,/dres/,sukienka/ubierać się
656,cloud,/klaʊd/,chmura
657,surprise,/sərˈpraɪz/,niespodzianka/zaskoczyć
658,quiet,/ˈkwaɪət/,cichy
659,stone,/stəʊn/,kamień
660,tiny,/ˈtaɪni/,malutki
661,climb,/klaɪm/,wspinać się
662,cool,/kuːl/,chłodny/fajny
663,design,/dɪˈzaɪn/,projekt/projektować
664,poor,/pʊər/,biedny
665,lot,/lɒt/,dużo
666,experiment,/ɪkˈsperɪmənt/,eksperyment
667,bottom,/ˈbɒtəm/,dno/spód
668,key,/kiː/,klucz
669,iron,/ˈaɪərn/,żelazo/żelazko
670,single,/ˈsɪŋɡl/,pojedynczy
671,stick,/stɪk/,kij/przyklejać
672,flat,/flæt/,płaski/mieszkanie
673,twenty,/ˈtwenti/,dwadzieścia
674,skin,/skɪn/,skóra
675,smile,/smaɪl/,uśmiech/uśmiechać się
676,crease,/kriːs/,zagniecenie/fałda
677,hole,/həʊl/,dziura
678,trade,/treɪd/,handel/handlować
679,melody,/ˈmelədi/,melodia
680,trip,/trɪp/,wycieczka/potknąć się
681,office,/ˈɒfɪs/,biuro
682,receive,/rɪˈsiːv/,otrzymać
683,row,/rəʊ/,rząd/wiosłować
684,mouth,/maʊθ/,usta
685,exact,/ɪɡˈzækt/,dokładny
686,symbol,/ˈsɪmbl/,symbol
687,die,/daɪ/,umierać
688,least,/liːst/,najmniej
689,trouble,/ˈtrʌbl/,kłopot/problem
690,shout,/ʃaʊt/,krzyczeć
691,except,/ɪkˈsept/,oprócz/z wyjątkiem
692,wrote,/rəʊt/,napisał
693,seed,/siːd/,nasiono
694,tone,/təʊn/,ton/odcień
695,join,/dʒɔɪn/,dołączyć
696,suggest,/səˈdʒest/,sugerować
697,clean,/kliːn/,czysty/sprzątać
698,break,/breɪk/,przerwa/łamać
699,lady,/ˈleɪdi/,dama/pani
700,yard,/jɑːrd/,podwórko/jard
701,rise,/raɪz/,wschodzić/podnosić się
702,bad,/bæd/,zły
703,blow,/bləʊ/,wiać/dmuchać
704,oil,/ɔɪl/,olej/ropa naftowa
705,blood,/blʌd/,krew
706,touch,/tʌtʃ/,dotykać/dotyk
707,grew,/ɡruː/,rósł
708,cent,/sent/,cent
709,mix,/mɪks/,mieszać
710,team,/tiːm/,drużyna/zespół
711,wire,/ˈwaɪər/,drut/przewód
712,cost,/kɒst/,koszt/kosztować
713,lost,/lɒst/,zgubiony/przegrał
714,brown,/braʊn/,brązowy
715,wear,/wer/,nosić (ubranie)
716,garden,/ˈɡɑːrdn/,ogród
717,equal,/ˈiːkwəl/,równy
